2025/10/30,12:03:02,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 73,,,57857422, 
2025/10/30,12:03:05,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 74,,,57857423, 
2025/10/30,12:03:05,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 75,,,57857424, 
2025/10/30,12:03:05,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 76,,,57857425, 
2025/10/30,12:03:05,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 77,,,57857426, 
2025/10/30,12:03:05,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 78,,,57857427, 
2025/10/30,12:03:05,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 79,,,57857428, 
2025/10/30,12:03:08,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 8,,,57857357, 
2025/10/30,12:03:08,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 9,,,57857358, 
2025/10/30,12:03:08,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 80,,,57857429, 
2025/10/30,12:03:08,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 81,,,57857430, 
2025/10/30,12:03:08,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 82,,,57857431, 
2025/10/30,12:03:08,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 83,,,57857432, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 001,,,58180718, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 002,,,58180719, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 003,,,58180720, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 004,,,58180721, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 005,,,58180722, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 006,,,58180723, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 007,,,58180724, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 008,,,58180725, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 009,,,58180726, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 010,,,58180727, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 011,,,58180728, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 012,,,58180729, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 013,,,58180730, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 014,,,58180731, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 015,,,58180732, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 016,,,58180733, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 017,,,58180734, 
2025/10/30,12:03:55,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 018,,,58180735, 
2025/10/30,12:04:15,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 101,,,58180736, 
2025/10/30,12:04:15,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 102,,,58180737, 
2025/10/30,12:04:15,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 103,,,58180738, 
2025/10/30,12:04:15,I,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 104,,,58180739, 
